Common Item,.18 Derringer,Firearm,-,-,2,-
Common Item,.38 Revolver,Firearm,-,-,3,-
Common Item,.45 Automatic,Firearm,-,-,4,-
Common Item,2x4,Heavy Weapon,Action: You brace the door with the board. Flip this card and place it against a door to your space.,Treat this card a barricade that blocks the door it is placed against. When an investigator picks up this card or moves this card away from the door it blocks flip this card.,2,-
Horror,Absolute Terror,-,Suffer 1 additional facedown Horror. Then flip this card facedown.,-,-,Resolve Immediately
Horror,Acalculia,-,Roll 1 fewer die while resolving a Lore test.,-,-,Keep Faceup
Common Item,Arcane Manuscript,Tome,Roll 1 addition die while resolving a lore test.,-,-,-
Common Item,Axe,Heavy Weapon,You may suffer 2 facedown horror to convert all the clues to successes while attacking with this card.,-,2,-
Damage,Back Spasm,-,Drop 1 random Item. Then flip this card facedown.,-,-,Resolve Immediately
Common Item,Bandages,Equipment,Action: Discard up to 2 facedown damage. Then discard this card.,-,-,-
Damage,Blow to the head,-,Become Dazed. Then flip this card facedown.,-,-,Resolve Immediately
Unique Item,Brass Key,Key,-,-,-,-
Common Item,Brass Knuckles,Equipment,Roll 2 additional dice while attacking unarmed.,-,-,-
Damage,Broken Arm,-,Keep faceup. If you ever have more than 2 Items drop all but 2 of your Items.,-,-,Keep Faceup
Damage,Broken Leg,-,If you move more than a single space as part of a move action flip 1 Damage faceup.,-,-,Keep Faceup
Common Item,Bullseye Lantern,Light Source,Action: Another investigator within range becomes dazed.,-,-,-
Common Item,Candles,Light Source,You may dicard this card to convert all clues to successes while casting a spell.,-,-,-
Common Item,Carbine Rifle,Firearm,You cannot attack a monster in your space with this card.,-,5,-
Unique Item,Circumstantial Evidence,Evidence,-,-,-,-
Horror,Claustrophobia,-,Whenever you end your turn within range of 2 or fewer spaces suffer 1 facedown Horror.,-,-,Keep Faceup
Unique Item,Conclusive Evidence,Evidence,-,-,-,-
Damage,Concussion,-,Discard 1 Clue. Then flip this card facedown.,-,-,Resolve Immediately
Horror,Cower in Fear,-,Become Stunned. Then discard this card.,-,-,Resolve Immediately
Common Item,Crowbar,Heavy Weapon,-,-,2,-
Unique Item,Cult Sigil,Evidence Key,-,-,-,-
Condition,Dazed,-,You cannot spend Clues to convert dice results or perform additional puzzle steps.,-,-,At the end of your turn discard this card.
Horror,Dementia,-,Discard 1 Clue. Then flip this card facedown.,-,-,Resolve Immediately
Damage,Demoralizing Injury,-,Suffer 1 additional facedown Horror. Then flip this card facedown.,-,-,Resolve Immediately
Damage,Disfigured,-,Roll 1 fewer die when resolving an Influence test.,-,-,Keep Faceup
Horror,Disoriented,-,Become Dazed. Then flip this card facedown.,-,-,Resolve Immediately
Unique Item,Duke (dog),Ally,At the start of your turn you may perform a trade action as if you are in any space within range.,-,-,-
Common Item,Dynamite,Equipment,Action: You light the fuse and toss the explosive. Flip this card and place it in a space within range.,At the end of the investigator phase each investigator in this space or an adjacent space suffers 8 damage and each monster in those spaces suffers 10 damage. Then discard this card.,-,-
